correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |     2.8    14.6    2.8    2.5    2.5              |     8.2    17.8    8.2    2.5    2.5
   16  |     4.0    18.5    3.3    2.8    2.5              |    10.1    22.2    3.2    2.5    2.5
   32  |     6.5    22.9    3.1    3.1    3.5              |    12.8    28.6    3.3    3.1    3.4
   64  |    12.2    27.5    5.0    3.2    3.7              |    16.6    32.0    5.0    3.2    3.6
  128  |    24.5    32.8   10.7    4.7    4.5              |    23.0    36.4   11.6    5.3    5.2
  256  |    44.9    38.9    7.5   10.3   10.4              |    39.6    44.8   13.8   13.9   12.4
  512  |    84.0    44.7   15.1    7.6    6.5              |    80.8    59.3   31.4   24.3   15.5
 1024  |   177.0    49.7   10.3   15.6   14.7              |   140.7    77.5   43.7   37.6   23.8
 2048  |   343.8    54.9   18.9   10.1    9.1              |   298.9    97.8   56.6   47.2   25.9
 4096  |   655.4    60.7   13.8   19.8   17.8              |   492.2   117.6   70.8   65.7   35.8
 4096* | intel_spine=17.85 intel_spine_4096=14.02  (warm)  | intel_spine=35.82 intel_spine_4096=25.52  (cold)
