 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A      136.62      113.12      262.28      446.37  5
   B      110.09       94.99      282.89      440.29  5
   C       62.63      103.61      200.71      410.39  5
   D       79.30       92.20      251.27      428.82  5
   E       67.91       69.32      311.29      518.94  5
   F       55.43       58.12      240.31      512.30  5
   G      267.22      143.00      448.36      923.46  5
   H       66.75       70.72      363.50      631.33  5
   I       55.05       62.17      315.77      607.45  5
 Lem      178.70      148.98      428.60      666.15  5
