correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.2    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.7    14.2    6.2    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     5.1    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.8    18.0    3.2    2.7    2.8    2.6    2.9    2.6    2.9
   32  |     9.1    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.3    22.4    3.3    3.3    4.3    2.7    2.9    3.3    3.9
   64  |    15.9    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.1 |    17.1    26.8    5.6    3.9    4.6    4.4    5.1    3.8    4.4
  128  |    36.1    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.5    32.2   10.8    6.6    5.7    5.7    6.0    6.3    5.8
  256  |    70.8    29.3    7.8   10.0    9.2    6.0    5.4    9.8    8.7 |    53.8    37.2   10.8   12.5   10.1    9.9    8.9   12.6   10.4
  512  |   115.4    33.4   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   102.5    43.4   21.4   17.2   16.5   16.9   13.6   16.0   15.5
 1024  |   236.5    37.8   11.1   15.9   13.7    9.0    7.1   15.6   13.5 |   219.8    54.5   32.0   34.6   20.7   29.0   25.0   31.2   18.2
 2048  |   462.6    42.4   19.9   12.3    8.1   16.2   14.2   11.1    7.9 |   393.3    75.8   51.8   43.1   22.1   40.4   23.8   39.4   22.8
 4096  |   906.8    47.1   15.2   20.8   16.8   11.7    9.3   20.0   16.2 |   918.4   116.9   74.1   77.3   36.5   72.9   31.5   60.8   34.2
 4096* | gv4_spine=16.18 gv4_spine_4096=14.68  (warm)  | gv4_spine=34.24 gv4_spine_4096=27.68  (cold)
 4096* |  m4_spine=9.34  m4_spine_4096=7.53  (warm)  |  m4_spine=31.45  m4_spine_4096=34.21  (cold)
 4096* | pi5_spine=16.77 pi5_spine_4096=14.65  (warm)  | pi5_spine=36.48 pi5_spine_4096=33.57  (cold)
