correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     3.5    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.9 |     6.5    14.2    6.3    2.6    2.8    2.6    2.8    2.6    2.7
   16  |     4.9    14.9    3.3    2.9    2.9    2.8    2.8    2.9    2.8 |     8.6    18.6    3.2    2.7    2.8    2.6    2.9    2.6    2.9
   32  |     8.6    18.4    3.3    3.3    4.1    2.8    2.8    3.3    3.9 |    11.5    22.4    3.3    3.3    4.1    2.6    2.7    3.3    4.1
   64  |    16.8    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.0 |    17.3    27.4    5.4    4.0    4.7    4.7    5.3    3.9    4.4
  128  |    29.9    25.3    9.7    5.4    4.6    4.1    4.9    5.4    4.4 |    30.2    32.4   10.4    6.6    5.9    5.8    6.2    6.4    5.8
  256  |    69.6    29.3    7.8   10.1    9.0    6.0    5.4   10.0    8.7 |    55.2    37.3   11.0   14.0   10.7   10.1    9.3   13.2   10.4
  512  |   115.4    33.5   15.2    8.6    6.4   10.6    9.6    8.6    6.1 |   104.4    43.0   21.8   18.1   16.9   17.0   13.9   17.6   15.9
 1024  |   236.5    38.0   11.1   15.9   13.6    9.0    7.1   15.9   13.3 |   199.6    55.4   32.5   33.8   21.6   28.5   27.1   32.2   19.5
 2048  |   461.7    42.7   19.9   12.2    8.1   16.1   14.1   12.3    7.9 |   431.4   100.7   67.2   50.9   28.5   50.5   24.5   41.5   23.5
 4096  |   905.3    47.3   15.2   20.8   16.7   11.7    9.3   20.8   16.1 |   832.8   119.7   74.2   77.0   36.5   73.4   30.8   65.0   36.7
 4096* | gv4_spine=16.13 gv4_spine_4096=14.67  (warm)  | gv4_spine=36.68 gv4_spine_4096=35.49  (cold)
