correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     4.0    11.7    3.6    2.9    2.9    2.9    2.9    2.9    2.8 |     6.7    14.1    6.2    2.6    2.7    2.6    2.6    2.6    2.6
   16  |     7.0    15.0    3.3    2.9    2.8    2.8    2.8    2.9    2.9 |     8.7    18.4    3.3    2.6    2.8    2.6    2.8    2.6    2.9
   32  |    13.5    18.4    3.2    3.3    4.1    2.8    2.8    3.3    3.9 |    11.4    22.7    3.7    3.3    4.0    2.6    2.7    3.3    3.9
   64  |    15.8    21.9    4.9    3.5    4.1    3.9    4.6    3.5    4.1 |    17.0    26.7    5.1    4.0    4.2    4.3    4.8    3.8    4.3
  128  |    30.0    25.3    9.6    5.4    4.6    4.1    4.9    5.1    4.5 |    29.4    31.9   10.3    6.1    5.4    5.0    5.6    5.9    5.4
  256  |    70.6    29.2    7.8   10.0    9.2    6.0    5.4    9.8    8.7 |    54.4    37.0   10.7   13.3   10.2    9.7    9.0   12.7   10.3
  512  |   115.4    33.5   15.2    8.6    6.3   10.9    9.7    7.9    6.2 |   103.2    43.5   21.5   17.4   16.6   16.5   13.3   16.1   15.9
 1024  |   236.5    37.7   11.1   15.9   13.7    9.0    7.1   15.5   13.4 |   200.3    55.8   32.2   34.6   20.6   28.9   26.6   31.7   17.8
 2048  |   462.7    42.4   19.9   12.2    8.1   16.3   14.1   11.1    7.9 |   403.1    78.6   54.9   49.0   23.9   42.2   26.1   43.9   23.5
 4096  |   906.7    47.1   15.2   20.8   16.8   11.7    9.4   20.0   16.2 |   839.3   125.4   81.9   80.7   38.6   78.0   31.5   65.4   34.6
 4096* | gv4_spine=16.16 gv4_spine_4096=14.66  (warm)  | gv4_spine=34.58 gv4_spine_4096=28.02  (cold)
 4096* |  m4_spine=9.35  m4_spine_4096=7.51  (warm)  |  m4_spine=31.48  m4_spine_4096=39.47  (cold)
 4096* | pi5_spine=16.75 pi5_spine_4096=14.66  (warm)  | pi5_spine=38.56 pi5_spine_4096=31.76  (cold)
