 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A      161.29      102.72      382.74      418.51  5
   B      148.54       94.73      345.80      498.63  5
   C       91.94       95.44      255.04      406.23  5
   D      111.16       89.72      316.83      484.37  5
   E       80.11       58.16      325.26      498.94  5
   F       65.37       50.34      268.45      486.13  5
   G      149.60      130.06      359.41      597.22  5
   H       64.71       63.18      370.72      635.46  5
   I       57.49       58.38      311.10      619.95  5
 Lem      181.62      196.19      366.88      519.73  5
