correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     2.2     8.0    3.3    2.5    2.5    2.4    2.4    2.4    2.4 |     6.3     7.4    7.6    2.5    2.5    2.6    2.8    2.5    2.5
   16  |     3.8     7.3    2.6    2.4    2.5    2.5    2.5    2.5    2.5 |     7.8     7.1    2.7    2.5    4.2    2.5    2.5    2.5    2.5
   32  |     7.2     7.3    2.6    2.7    3.2    2.4    2.5    2.6    3.1 |     9.9     6.5    3.2    2.6    3.6    2.5    2.4    2.5    3.1
   64  |    13.4     8.1    3.2    2.8    3.1    3.0    3.3    2.9    3.1 |    15.5     7.1    3.0    2.8    3.0    3.0    3.2    2.8    3.5
  128  |    26.4     9.2    3.6    3.7    3.0    3.5    3.7    3.4    3.1 |    25.8     8.9    3.9    3.9    4.1    4.1    4.2    3.6    3.6
  256  |    51.5    10.5    4.6    4.4    3.5    4.0    3.8    4.0    3.5 |    48.6    11.8    5.8    5.7    4.8    5.8    4.8    5.6    4.4
  512  |   111.1    12.3    5.5    6.0    4.1    4.8    4.4    5.2    4.1 |    87.2    15.9    8.1    9.6    9.3    7.2    5.0    7.1    4.8
 1024  |   214.3    13.8    6.7    6.7    4.8    5.5    4.9    5.8    4.8 |   162.9    23.4   15.6   10.2    9.7    9.7    8.9   10.3    6.3
 2048  |   411.8    15.5    7.9    8.6    5.7    6.6    5.7    7.5    5.7 |   327.7   100.4   38.8   27.5   13.8   29.8    9.2   29.3   13.0
 4096  |   815.2    17.7    9.3    9.4    6.4    7.6    6.4    8.2    6.4 |   636.5   161.5   56.6   29.9   19.0   32.4   10.9   27.0   13.2
 4096* | gv4_spine=6.42 gv4_spine_4096=5.68  (warm)  | gv4_spine=13.19 gv4_spine_4096=32.15  (cold)
 4096* |  m4_spine=6.35  m4_spine_4096=6.35  (warm)  |  m4_spine=10.90  m4_spine_4096=32.93  (cold)
 4096* | pi5_spine=6.42 pi5_spine_4096=5.71  (warm)  | pi5_spine=19.00 pi5_spine_4096=28.96  (cold)
