 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A      394.99       98.62      819.38      613.54  5
   B      112.64      147.04      338.54      677.09  5
   C       54.85       75.52      263.54      644.38  5
   D       75.55      116.76      306.25      706.25  5
   E       55.53       76.05      268.75      630.21  5
   F       45.88       79.26      278.54      776.46  5
   G      158.26      158.17      356.88      888.75  5
   H       68.93       74.33      385.62      826.66  5
   I       47.71       63.57      328.33      869.79  5
 Lem      141.82      200.30      365.62      876.66  5
