correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     1.5     4.9    2.1    1.5    1.5    1.7    1.8    1.5    1.5 |     4.3     4.7    5.3    1.2    1.2    1.4    1.7    1.5    1.2
   16  |     2.7     4.3    1.3    1.2    1.2    1.4    1.4    1.2    1.2 |     6.2     4.1    1.4    0.9    1.0    1.1    1.2    0.9    1.2
   32  |     4.9     4.5    1.6    1.9    2.3    1.4    1.2    1.9    2.3 |     7.0     3.8    1.4    1.7    2.1    1.2    1.3    1.7    2.2
   64  |     9.5     5.0    2.1    2.0    2.3    2.1    2.5    1.9    2.4 |    13.7     5.4    2.5    2.4    3.0    2.2    2.3    1.7    2.1
  128  |    18.7     5.6    2.4    2.4    2.1    2.1    2.6    2.2    2.1 |    19.0     5.4    2.5    2.5    2.4    2.6    2.6    2.4    2.3
  256  |    37.2     6.5    3.2    2.7    2.3    2.6    2.3    2.6    2.3 |    32.2     6.3    3.8    3.6    3.7    4.1    3.3    3.7    2.3
  512  |    80.1     7.6    3.8    3.7    2.8    3.0    2.8    3.4    2.8 |    69.4    12.9    5.9    5.9    3.0    5.3    3.6    5.4    2.8
 1024  |   153.1     8.5    4.5    4.2    3.3    3.6    3.2    3.9    3.3 |   130.7    26.3   12.6    7.6    3.3    7.7    6.4    5.8    3.6
 2048  |   299.0     9.9    5.2    5.6    4.0    4.1    3.7    4.9    3.9 |   236.7    39.9   16.1   10.4    9.0   10.4    4.2    8.5    5.1
 4096  |   585.0    11.0    6.2    6.1    4.6    5.0    4.3    5.5    4.5 |   475.2    66.6   31.5   15.5   12.0   16.6    6.6   11.7    5.0
 4096* | gv4_spine=4.53 gv4_spine_4096=3.71  (warm)  | gv4_spine=5.03 gv4_spine_4096=15.16  (cold)
 4096* |  m4_spine=4.34  m4_spine_4096=3.64  (warm)  |  m4_spine=6.56  m4_spine_4096=18.43  (cold)
