=== M4 Max F vs Lem sweep medians (5 runs, 2026-05-20) ===
    n     F.hb    L.hb     d%     F.hs    L.hs     d%     F.cb    L.cb     d%     F.cs    L.cs     d%
    1     8.17    9.01   -9.4    10.10   13.17  -23.3    93.75  103.12   -9.1   261.45  152.91  +71.0
    2    15.47   15.31   +1.0    16.68   17.82   -6.4   100.00  113.33  -11.8   292.29  159.59  +83.2
    3    17.84   17.67   +1.0    17.99   18.69   -3.8   109.58  117.08   -6.4   281.05  161.04  +74.5
    4    18.29   18.61   -1.7    18.96   19.50   -2.8   109.80  128.96  -14.9   278.33  154.38  +80.3
    5    19.10   19.37   -1.4    19.98   20.09   -0.6   121.25  139.79  -13.3   292.08  155.42  +87.9
    6    19.36   19.47   -0.6    20.00   20.11   -0.6   117.08  151.88  -22.9   295.21  160.83  +83.6
    7    20.15   19.41   +3.8    20.42   20.68   -1.2   121.88  155.42  -21.6   292.08  153.75  +90.0
    8     7.82   20.27  -61.4     8.24   21.01  -60.8    87.50  152.91  -42.8   113.96  239.79  -52.5
    9     9.76   20.91  -53.3    10.00   21.71  -53.9    85.83  153.75  -44.2   126.25  229.59  -45.0
   10    10.92   21.17  -48.4    11.19   21.70  -48.4    88.33  188.34  -53.1   136.04  248.96  -45.4
   11    13.03   21.19  -38.5    13.02   21.99  -40.8    91.25  172.09  -47.0   158.12  233.34  -32.2
   12    14.41   21.11  -31.8    13.88   21.73  -36.1    96.45  217.29  -55.6   160.62  239.58  -33.0
   13    15.24   20.91  -27.1    16.67   21.58  -22.8   102.92  183.34  -43.9   163.34  229.59  -28.9
   14    16.66   21.32  -21.9    17.10   22.36  -23.5   101.04  212.50  -52.5   189.59  222.08  -14.6
   15    17.96   21.59  -16.8    18.40   21.97  -16.2   109.58  241.88  -54.7   216.46  211.66   +2.3
   16     7.92    9.66  -18.0     8.16   15.09  -45.9    94.17  117.50  -19.9   108.96  247.50  -56.0
   17     9.05   10.64  -14.9     9.15   16.50  -44.6    91.88  112.29  -18.2   127.71  261.46  -51.2
   18    10.09   11.28  -10.5    10.25   16.52  -38.0    95.21  115.42  -17.5   127.50  259.58  -50.9
   19    11.12   12.39  -10.2    11.37   16.60  -31.5   111.67  120.83   -7.6   130.62  253.34  -48.4
   20    12.19   13.43   -9.2    12.18   18.34  -33.6    99.38  116.46  -14.7   135.83  277.29  -51.0
   21    12.80   14.32  -10.6    12.94   18.04  -28.2   100.62  114.58  -12.2   155.42  251.25  -38.1
   22    13.24   14.50   -8.6    13.15   18.45  -28.7    96.04  110.21  -12.9   149.79  254.16  -41.1
   23    14.28   15.02   -4.9    14.25   19.42  -26.6   115.21  103.95  +10.8   166.25  235.21  -29.3
   24    14.81   16.21   -8.6    15.12   18.87  -19.9   100.00  112.92  -11.4   162.50  238.12  -31.8
   25    15.63   16.03   -2.4    15.68   19.96  -21.4   106.04  125.00  -15.2   172.50  277.30  -37.8
   26    17.06   16.37   +4.2    17.00   19.72  -13.8   110.20  110.62   -0.4   172.29  221.46  -22.2
   27    16.58   17.36   -4.5    17.51   19.87  -11.9   106.46  118.96  -10.5   194.38  211.25   -8.0
   28    18.02   17.38   +3.7    18.09   20.28  -10.8   240.00  132.71  +80.9   187.29  230.62  -18.8
   29    18.21   17.89   +1.8    18.68   21.53  -13.2   106.88  126.88  -15.8   199.79  203.34   -1.7
   30    19.66   19.41   +1.3    19.76   20.73   -4.7   115.83  136.46  -15.1   196.25  211.88   -7.4
   31    19.96   19.43   +2.7    19.97   21.31   -6.3   145.62  135.21   +7.7   207.91  192.50   +8.0
   32     8.14   10.23  -20.4     8.11   16.43  -50.6    91.46  112.92  -19.0   104.38  244.59  -57.3
   33     8.89   10.93  -18.7     8.99   17.45  -48.5    97.29  114.79  -15.2   119.17  250.62  -52.5
   34     9.13   11.65  -21.7     9.64   17.76  -45.7    96.46  115.83  -16.7   121.45  262.29  -53.7
   35     9.41   12.21  -23.0     9.98   18.17  -45.1    93.75  116.04  -19.2   119.38  267.08  -55.3
   37    11.16   12.72  -12.3    11.26   18.97  -40.7    99.38  112.92  -12.0   124.79  277.08  -55.0
   38    11.61   13.07  -11.2    11.78   18.61  -36.7    97.50  115.62  -15.7   136.88  250.21  -45.3
   39    11.69   13.85  -15.6    11.97   19.21  -37.7   109.38  112.70   -3.0   123.12  257.70  -52.2
   40    12.40   14.27  -13.1    12.41   18.98  -34.6   103.33  112.50   -8.2   151.46  267.50  -43.4
   42    13.49   14.74   -8.5    13.62   19.59  -30.4    96.05  117.71  -18.4   126.67  242.50  -47.8
   43    13.71   15.29  -10.3    14.16   20.12  -29.6    98.96  115.62  -14.4   180.21  243.34  -25.9
   45    14.68   15.41   -4.8    14.61   20.18  -27.6   109.80  128.96  -14.9   168.12  222.29  -24.4
   46    14.99   16.72  -10.4    14.91   20.97  -28.9   102.08  116.45  -12.3   154.38  245.41  -37.1
   48    15.62   11.27  +38.6    16.07   18.51  -13.2   110.21  118.95   -7.4   155.84  258.12  -39.6
   49    15.79   11.08  +42.5    16.02   18.36  -12.7   109.38  119.17   -8.2   180.62  226.88  -20.4
   51    17.23   12.77  +34.9    16.61   19.12  -13.2   122.29  122.29   +0.0   178.34  237.91  -25.0
   53    17.75   13.23  +34.2    18.67   19.86   -6.0   231.04  116.67  +98.0   178.96  231.46  -22.7
   54    18.29   12.95  +41.3    19.09   20.40   -6.4   141.04  115.62  +22.0   206.04  212.71   -3.1
   56    19.67   13.55  +45.1    19.65   19.88   -1.2   135.00  115.83  +16.5   211.88  204.38   +3.7
   58    20.22   13.90  +45.5    20.41   19.75   +3.3   153.96  116.67  +32.0   222.09  188.12  +18.1
