correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |    10.8    26.2   12.5    7.2    7.3    8.4    7.7    7.1    7.5 |    22.4    31.7   15.4    8.5    8.0   11.3    8.2    7.6    8.9
   16  |    18.3    32.8    9.4    5.4    5.9    5.2    5.7    5.1    5.9 |    25.3    28.2    8.4    6.6    7.3   13.5   13.5    7.1    7.2
   32  |    21.0    28.1   10.0    8.3    7.2    6.3    7.6    8.2    7.4 |    40.1    35.4   16.2   14.7   12.6   16.6   10.3   11.2    9.2
   64  |    38.1    40.1   14.9   11.5   11.4   11.5    9.2   11.1   11.6 |    52.9    47.5   20.4   17.8   19.2   19.2   18.0   16.5   18.3
  128  |    74.5    40.0   15.1   13.4   11.9   12.7   12.8   13.0   12.0 |    82.0    58.9   24.8   23.8   26.2   23.9   24.0   23.0   24.9
  256  |   143.9    45.9   17.8   16.8   17.8   21.6   18.2   22.9   20.6 |   232.1   132.5  112.0  108.2  113.5   95.6   96.0   79.7  108.5
  512  |   380.8    52.7   23.1   24.9   19.1   22.0   18.4   22.5   19.3 |   338.2   173.5  174.5  165.0  144.4  193.0  154.7  164.1  173.1
 1024  |   718.7    71.7   30.4   26.9   18.0   21.1   17.2   22.7   18.1 |   610.6   284.5  259.2  202.9  144.8  185.6  132.4  196.7  123.0
 2048  |  1184.8    96.7   41.6   41.5   27.7   35.7   29.8   38.5   30.7 |  1393.5   375.2  348.7  336.3  153.5  317.0  140.9  298.6  147.3
 4096  |  2201.3    79.0   31.4   32.4   24.3   28.7   22.7   29.6   23.6 |  1722.8   320.0  295.3  303.2  131.8  272.8  120.5  271.1  129.3
 4096* | gv4_spine=23.56 gv4_spine_4096=27.08  (warm)  | gv4_spine=129.26 gv4_spine_4096=122.87  (cold)
 4096* |  m4_spine=22.75  m4_spine_4096=18.79  (warm)  |  m4_spine=120.51  m4_spine_4096=114.48  (cold)
 4096* | pi5_spine=24.33 pi5_spine_4096=23.78  (warm)  | pi5_spine=131.75 pi5_spine_4096=153.47  (cold)
