 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A      238.20      284.13     1650.36     1652.31  5
   B      231.84      264.09     1436.01     2009.15  5
   C      233.78      282.78     1367.12     1471.38  5
   D      240.10      268.82     1233.04     1790.45  5
   E      256.48      245.58     1931.18     2038.13  5
   F      244.40      328.50     1591.57     1547.03  5
   G      432.88      547.26     1739.06     2015.27  5
   H      260.82      252.48     2354.24     2635.44  5
   I      242.76      254.65     1892.39     2015.35  5
 Lem      377.30      438.38     2075.36     1859.70  5
