--- run 1 ---
correctness: ok

size   | warm ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s       | cold ns/q:  linear  binary  simd   pi5   pi5s    m4   m4s   gv4   gv4s      
-------+----------------------------------------------------------------------------+----------------------------------------------------------------------------
    8  |     7.3    17.8    8.4    4.8    4.9    5.6    5.1    4.8    5.1 |    11.8    20.4   10.3    5.0    5.1    5.8    5.4    4.8    5.0
   16  |    12.3    23.1    7.7    5.1    5.3    5.2    5.3    5.1    5.6 |    20.4    27.9    7.7    5.4    6.0   13.1   12.6    6.0    5.6
   32  |    21.0    27.8    9.9    8.2    7.1    6.0    6.1    8.2    7.2 |    26.9    35.0   11.4    9.1    8.1   13.9    6.9    9.5    9.4
   64  |    37.7    34.8   12.1   11.1   11.9   10.0    8.6   11.2   11.3 |    38.4    42.0   14.0   12.9   13.4   12.9   11.5   13.4   12.8
  128  |    71.3    40.7   14.9   13.4   11.9   12.7   12.7   13.1   12.4 |    72.7    49.9   19.3   19.6   19.4   18.0   18.7   17.2   17.3
  256  |   138.6    46.4   17.9   16.7   13.9   14.6   13.1   16.3   13.8 |   138.6    62.6   31.1   32.1   27.3   28.9   27.4   27.9   25.2
  512  |   274.1    52.7   21.6   20.3   15.8   18.3   15.2   18.6   15.8 |   299.0   133.7   90.8   73.2   57.8   59.1   52.2   69.7   57.8
 1024  |   539.2    59.0   24.5   23.7   17.9   20.7   17.2   22.6   18.1 |   519.8   181.0  150.1  128.6   72.2  124.8   77.2  124.7   70.6
 2048  |  1071.6    64.8   28.1   28.2   20.9   24.1   20.2   26.0   20.7 |   988.6   284.1  261.6  303.1   83.3  197.0   64.4  188.6   49.2
 4096  |  2092.7    70.4   31.4   31.3   23.6   28.9   25.4   31.7   31.7 |  2129.1   383.1  358.4  363.3  169.0  329.4  147.9  328.2  147.5
 4096* | gv4_spine=31.73 gv4_spine_4096=32.83  (warm)  | gv4_spine=147.54 gv4_spine_4096=135.50  (cold)
 4096* |  m4_spine=25.42  m4_spine_4096=23.10  (warm)  |  m4_spine=147.88  m4_spine_4096=147.44  (cold)
 4096* | pi5_spine=23.58 pi5_spine_4096=29.09  (warm)  | pi5_spine=169.03 pi5_spine_4096=135.43  (cold)
