correctness: ok

size   | warm ns/q:  linear  binary  simd   intel  intels | cold ns/q:  linear  binary  simd   intel  intels
-------+------------------------------------------------+------------------------------------------------
    8  |    15.7    24.9   16.6   12.6   13.5              |    21.2    30.0   19.5   11.3   11.7
   16  |    19.2    31.2   18.0   12.2   12.4              |    23.4    35.1   12.7   10.9   11.5
   32  |    16.6    36.5   15.3   13.7   14.9              |    27.3    41.0   14.0   12.2   13.6
   64  |    18.0    44.2   16.7   14.5   15.8              |    31.8    50.0   16.0   14.1   14.5
  128  |    20.7    52.2   17.6   18.1   16.6              |    40.9    58.2   19.0   16.9   18.2
  256  |    25.5    61.3   31.0   31.8   18.6              |   566.0   139.4   45.6   26.9   25.8
  512  |    36.2    64.7   22.7   24.5   20.0              |   102.8   120.4   64.1   41.7   42.8
 1024  |    49.5    69.4   30.8   26.8   23.9              |   216.5   239.1  134.0  125.8   80.6
 2048  |   106.7    84.6   29.3   30.2   25.2              |   324.2   205.1  149.1  125.1   92.3
 4096  |   163.6    81.6   32.8   31.8   26.5              |   733.3   281.4  249.5  191.9  133.2
 4096* | intel_spine=26.48 intel_spine_4096=32.49  (warm)  | intel_spine=133.22 intel_spine_4096=122.98  (cold)
