 var     hot_bat     hot_ser    cold_bat    cold_ser  runs
   A      235.33      155.16      778.10      794.65  5
   B      216.26      127.51      782.86      843.58  5
   C      148.06      134.88      668.83      718.35  5
   D       95.58       96.18      554.10      710.10  5
   E       86.62       88.17      947.75      962.42  5
   F       84.42       83.72      594.47      826.85  5
   G      304.27      299.74      781.71     1215.71  5
   H      100.65      109.12     1052.16     1067.39  5
   I       88.79      101.20      718.71      941.36  5
 Lem      258.17      270.41      951.47      953.71  5
